Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year,2007,2009,year 
"2,4-D",20,0.07,0.69,1.2,0.9,40320.0,37500,37500.0,1999.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,760320.0,640000,640000.0,1999.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,15840.0,24100,24100.0,1999.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,137280.0,258000,258000.0,1999.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,336000.0,203400,203400.0,1999.0,,,
Paraquat,3290,0.29,0.49,1.1,0.57,153120.0,97000,97000.0,1999.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,31680.0,56300,56300.0,1999.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,52800.0,47200,47200.0,1999.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25500.0,1999.0,,,
"2,4-D",20,0.07,0.69,1.2,0.9,44397.276,37500,37499.97637,2000.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,837205.776,640000,639999.5968,2000.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,17441.787,24100,24099.984819999998,2000.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,151162.154,258000,257999.8375,2000.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,369977.3,203400,203399.8719,2000.0,,,
Paraquat,3290,0.29,0.49,1.1,0.57,168603.94100000002,97000,96999.93888999999,2000.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,34883.574,56300,56299.96453,2000.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,58139.29,47200,47199.97026,2000.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25499.983930000002,2000.0,,,
"2,4-D",20,0.07,0.69,1.2,0.9,48474.468,37500,37500.02164,2001.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,914089.968,640000,640000.3693,2001.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,19043.541,24100,24100.013909999998,2001.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,165044.022,258000,258000.1489,2001.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,403953.9,203400,203400.1174,2001.0,,,
Paraquat,3290,0.29,0.49,1.1,0.57,184087.563,97000,97000.05597,2001.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,38087.082,56300,56300.03249,2001.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,63478.47,47200,47200.027239999996,2001.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25500.01471,2001.0,,,
"2,4-D",20,0.07,0.69,1.2,0.9,52551.744000000006,37500,37500.0,2002.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,990975.7440000001,640000,640000.0,2002.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,20645.328,24100,24100.0,2002.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,178926.176,258000,258000.0,2002.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,437931.2,203400,203400.0,2002.0,,,
Paraquat,3290,0.29,0.49,1.1,0.57,199571.504,97000,97000.0,2002.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,41290.656,56300,56300.0,2002.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,68817.76,47200,47200.0,2002.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25500.0,2002.0,,,
"2,4-D",20,0.07,0.69,1.2,0.9,52960.572,37500,37500.02379,2003.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,998685.072,640000,640000.406,2003.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,20805.939,24100,24100.01529,2003.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,180318.138,258000,258000.1637,2003.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,441338.1,203400,203400.129,2003.0,,,
