Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year
Abamectin,130,0.24,0.01,1.1,0.02,126720.0,2200,2200.0,1999
Azinphos-methyl,310,0.07,1.9,1.1,2.21,36960.0,91500,91500.0,1999
Chlorpyrifos,820,0.17,1.67,1.1,1.86,89760.0,180800,180800.0,1999
Clofentezine,870,0.010198135,0.13,1.1,0.15,5384.6153859999995,700,700.0,1999
Diazinon,1220,0.09,2.51,1.2,3.09,51840.0,165000,165000.0,1999
Esfenvalerate,1620,0.14,0.05,1.5,0.08,100800.0,6200,6200.0,1999
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,79200.0,62800,62800.0,1999
Methidathion,2830,0.07,1.17,1.2,1.46,40320.0,57900,57900.0,1999
Permethrin,3350,0.15,0.18,1.3,0.24,93600.0,20600,20600.0,1999
Petroleum distillate,3360,0.58,19.07,1.3,25.86,361920.0,8728500,8728500.0,1999
Phosmet,3410,0.18,2.49,1.2,3.07,103680.0,322900,322900.0,1999
Propargite,3620,0.22,1.88,1.3,2.49,137280.0,321500,321500.0,1999
Spinosad,4020,0.05,0.09,1.1,0.1,26400.0,3000,3000.0,1999
Other Insecticides,7003,0.0,,,,0.0,17700,17700.0,1999
Abamectin,130,0.24,0.01,1.1,0.02,139534.296,2200,2199.998614,2000
Azinphos-methyl,310,0.07,1.9,1.1,2.21,40697.503,91500,91499.94235,2000
Chlorpyrifos,820,0.17,1.67,1.1,1.86,98836.793,180800,180799.8861,2000
Clofentezine,870,0.010198135,0.13,1.1,0.15,5929.123399,700,699.999559,2000
Diazinon,1220,0.09,2.51,1.2,3.09,57082.212,165000,164999.896,2000
Esfenvalerate,1620,0.14,0.05,1.5,0.08,110993.19,6200,6199.996094,2000
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,87208.935,62800,62799.96042999999,2000
Methidathion,2830,0.07,1.17,1.2,1.46,44397.276,57900,57899.963520000005,2000
Permethrin,3350,0.15,0.18,1.3,0.24,103065.105,20600,20599.98702,2000
Petroleum distillate,3360,0.58,19.07,1.3,25.86,398518.406,8728500,8728494.501,2000
Phosmet,3410,0.18,2.49,1.2,3.07,114164.424,322900,322899.7966,2000
Propargite,3620,0.22,1.88,1.3,2.49,151162.154,321500,321499.7974,2000
Spinosad,4020,0.05,0.09,1.1,0.1,29069.645,3000,2999.99811,2000
Other Insecticides,7003,0.0,,,,0.0,17700,17699.98885,2000
Abamectin,130,0.24,0.01,1.1,0.02,152348.328,2200,2200.0012699999997,2001
Azinphos-methyl,310,0.07,1.9,1.1,2.21,44434.929000000004,91500,91500.0528,2001
Chlorpyrifos,820,0.17,1.67,1.1,1.86,107913.399,180800,180800.1043,2001
Clofentezine,870,0.010198135,0.13,1.1,0.15,6473.620193,700,700.0004039,2001
Diazinon,1220,0.09,2.51,1.2,3.09,62324.316,165000,165000.0952,2001
Esfenvalerate,1620,0.14,0.05,1.5,0.08,121186.17,6200,6200.003578,2001
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,95217.705,62800,62800.036239999994,2001
Methidathion,2830,0.07,1.17,1.2,1.46,48474.468,57900,57900.033410000004,2001
Permethrin,3350,0.15,0.18,1.3,0.24,112530.015,20600,20600.01189,2001
Petroleum distillate,3360,0.58,19.07,1.3,25.86,435116.05799999996,8728500,8728505.037,2001
Phosmet,3410,0.18,2.49,1.2,3.07,124648.632,322900,322900.1863,2001
Propargite,3620,0.22,1.88,1.3,2.49,165044.022,321500,321500.1855,2001
Spinosad,4020,0.05,0.09,1.1,0.1,31739.235,3000,3000.001731,2001
Other Insecticides,7003,0.0,,,,0.0,17700,17700.01021,2001
Abamectin,130,0.24,0.01,1.1,0.02,165162.624,2200,2200.0,2002
Azinphos-methyl,310,0.07,1.9,1.1,2.21,48172.432,91500,91500.0,2002
Chlorpyrifos,820,0.17,1.67,1.1,1.86,116990.192,180800,180800.0,2002
Clofentezine,870,0.010198135,0.13,1.1,0.15,7018.128206,700,700.0,2002
Diazinon,1220,0.09,2.51,1.2,3.09,67566.52799999999,165000,165000.0,2002
Esfenvalerate,1620,0.14,0.05,1.5,0.08,131379.36,6200,6200.0,2002
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,103226.64,62800,62800.0,2002
