"Table 1: Insecticides Applied to National Acres Planted with 'Almonds' In 2004"
"Analyte","Sort Order","Percent Acres Treated","One Time Application Rate","Number of Applications","Rate per Crop Year","Surveyed Acre Treatments","Surveyed Acres","Total Acres",
"Abamectin","130","0.24","0.01","1.1","0.02","167732.664","2200","2199.9993074694",
"Azinphos-methyl","310","0.07","1.9","1.1","2.21","48922.027","91500","91499.971197023",
"Chlorpyrifos","820","0.17","1.67","1.1","1.86","118810.637","180800","180799.94308658",
"Clofentezine","870","0.0101981352","0.13","1.1","0.15","7127.3349372007","700","699.99977964936",
"Diazinon","1220","0.09","2.51","1.2","3.09","68617.908","165000","164999.94806021",
"Esfenvalerate","1620","0.14","0.05","1.5","0.08","133423.71","6200","6199.9980483229",
"Fenbutatin-oxide","1760","0.15","0.67","1.1","0.74","104832.915","62800","62799.9802314",
"Methidathion","2830","0.07","1.17","1.2","1.46","53369.484","57900","57899.981773854",
"Permethrin","3350","0.15","0.18","1.3","0.24","123893.445","20600","20599.993515395",
"Petroleum distillate","3360","0.58","19.07","1.3","25.86","479054.654","8728500","8728497.2523849",
"Phosmet","3410","0.18","2.49","1.2","3.07","137235.816","322900","322899.8983554",
"Propargite","3620","0.22","1.88","1.3","2.49","181710.386","321500","321499.8987961",
"Spinosad","4020","0.05","0.09","1.1","0.1","34944.305","3000","2999.9990556401",
"Other Insecticides","7003","0","","","","0","17700","17699.994428277",
