Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year
Abamectin,130,0.24,0.01,1.1,0.02,287760,2200,2200,2018
Azinphos-methyl,310,0.07,1.9,1.1,2.21,83930,91500,91500,2018
Chlorpyrifos,820,0.17,1.67,1.1,1.86,203830,180800,180800,2018
Clofentezine,870,0.010198135,0.13,1.1,0.15,12227.5641,700,700,2018
Diazinon,1220,0.09,2.51,1.2,3.09,117720,165000,165000,2018
Esfenvalerate,1620,0.14,0.05,1.5,0.08,228900,6200,6200,2018
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,179850,62800,62800,2018
Methidathion,2830,0.07,1.17,1.2,1.46,91560,57900,57900,2018
Permethrin,3350,0.15,0.18,1.3,0.24,212550,20600,20600,2018
Petroleum distillate,3360,0.58,19.07,1.3,25.86,821860,8728500,8728500,2018
Phosmet,3410,0.18,2.49,1.2,3.07,235440,322900,322900,2018
Propargite,3620,0.22,1.88,1.3,2.49,311740,321500,321500,2018
Spinosad,4020,0.05,0.09,1.1,0.1,59950,3000,3000,2018
Other Insecticides,7003,0,,,,0,17700,17700,2018
